epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40196,1.00551,1.92958,0.93035,0.31293,0.93878,0.89839,0.75246,0.79068,2.26713,1.02634,0.000654762,0.000654762,0.000654762
2,11.274,0.94317,1.3285,0.94861,0.95356,1,0.97841,0.74693,1.01782,0.97192,1.07784,0.00131881,0.00131881,0.00131881
3,15.9817,0.91853,1.14272,0.933,0.97991,0.99537,0.9946,0.75264,1.07648,1.01887,1.06984,0.00198022,0.00198022,0.00198022
4,20.5195,0.88074,0.94426,0.91248,0.99356,1,0.995,0.77831,0.99221,0.70727,1.0601,0.00198812,0.00198812,0.00198812
5,24.8414,0.89973,0.84222,0.94092,0.99502,1,0.995,0.81165,0.83279,0.60433,0.97738,0.00198416,0.00198416,0.00198416
6,29.5474,0.87988,0.73772,0.92671,0.99645,1,0.995,0.78676,1.05069,0.50365,1.03671,0.0019802,0.0019802,0.0019802
7,33.8508,0.83024,0.61786,0.9129,0.99554,1,0.995,0.78776,0.9079,0.56171,1.00536,0.00197624,0.00197624,0.00197624
8,38.7969,0.83997,0.56833,0.93431,0.99889,1,0.995,0.80248,0.91903,0.42482,1.01385,0.00197228,0.00197228,0.00197228
9,43.2226,0.79813,0.53801,0.91845,0.99812,1,0.995,0.82018,0.84165,0.39585,0.96405,0.00196832,0.00196832,0.00196832
10,47.8963,0.79766,0.48329,0.90975,0.99664,1,0.995,0.70803,1.15839,0.45308,1.08378,0.00196436,0.00196436,0.00196436
11,52.6452,0.84166,0.48092,0.91837,0.99773,1,0.995,0.80718,0.90912,0.34709,0.99474,0.0019604,0.0019604,0.0019604
12,57.1673,0.81815,0.45595,0.91543,0.99815,1,0.995,0.84122,0.78739,0.34695,0.96087,0.00195644,0.00195644,0.00195644
13,61.847,0.78546,0.4238,0.90287,0.99758,1,0.995,0.80592,0.86739,0.35806,1.01143,0.00195248,0.00195248,0.00195248
14,66.1949,0.7986,0.42564,0.90093,0.99768,1,0.995,0.83311,0.81102,0.31645,0.96256,0.00194852,0.00194852,0.00194852
15,71.0098,0.78577,0.40891,0.9044,0.9986,1,0.995,0.79776,0.98823,0.33203,1.01999,0.00194456,0.00194456,0.00194456
16,75.6598,0.78728,0.41277,0.92159,0.99773,1,0.995,0.81902,0.84385,0.33845,0.96208,0.0019406,0.0019406,0.0019406
17,80.1464,0.76394,0.38592,0.89069,0.99867,1,0.995,0.82745,0.81895,0.3142,0.96021,0.00193664,0.00193664,0.00193664
18,84.8383,0.79239,0.39407,0.91872,0.99835,1,0.995,0.78762,0.96826,0.33174,1.00076,0.00193268,0.00193268,0.00193268
19,89.1032,0.77971,0.36559,0.89507,0.99852,1,0.995,0.76443,1.10548,0.31317,1.06235,0.00192872,0.00192872,0.00192872
20,93.6671,0.76502,0.36519,0.89963,0.99812,1,0.995,0.82269,0.80082,0.27647,0.96115,0.00192476,0.00192476,0.00192476
21,98.1551,0.74724,0.35828,0.9076,0.99871,1,0.995,0.80442,0.83934,0.31194,0.98533,0.0019208,0.0019208,0.0019208
22,102.572,0.76425,0.3534,0.88513,0.99826,1,0.995,0.81555,0.92942,0.31148,0.99217,0.00191684,0.00191684,0.00191684
23,107.273,0.78139,0.36923,0.89636,0.99806,1,0.995,0.78638,1.04534,0.32749,1.04701,0.00191288,0.00191288,0.00191288
24,111.696,0.7435,0.34406,0.8868,0.99823,1,0.995,0.82576,0.78353,0.31876,0.95321,0.00190892,0.00190892,0.00190892
25,117.038,0.74303,0.33763,0.90481,0.99623,1,0.995,0.84126,0.8262,0.29836,0.965,0.00190496,0.00190496,0.00190496
